startName,endName,Start,End,Count
ลำปลายมาศ,วังแดง,K,L,3
ท่าเรือ,โคกตูม,B,I,2
ท่าเรือ,หนองแค,B,H,1
นครหลวง,ท่าเรือ,A,B,1
นครหลวง,โคกตูม,A,I,2
นครหลวง,โคราช,A,F,2
นครหลวง,พิษณุโลก,A,J,1
น้ำมันพืชไทย,โคราช,C,F,1
บางปะกง,บางนา,D,E,1
บางปะกง,ปักธงชัย,D,G,1
