startName,endName,Start,End,Count
ลำปลายมาศ,วังแดง,S,T,3
ท่าเรือ,โคกตูม,B,P,2
ท่าเรือ,หนองแค(สัตว์บก),B,N,1
นครหลวง,ท่าเรือ,A,B,1
นครหลวง,โคกตูม,A,P,2
นครหลวง,โคราช,A,L,2
นครหลวง,พิษณุโลก,A,Q,1
น้ำมันพืชไทย,โคราช,D,L,1
บางปะกง,บางนา,E,G,1
บางปะกง,ปักธงชัย,E,M,1
