name,distance
"นครหลวง-ท่าเรือ",65
"ท่าเรือ-นครหลวง",65
"นครหลวง-ท่าเรือ",65
"ท่าเรือ-นครหลวง",65
"นครหลวง-น้ำมันพืชไทย",7
"น้ำมันพืชไทย-ท่าเรือ",88
"ท่าเรือ-น้ำมันพืชไทย",-88
"น้ำมันพืชไทย-บางปะกง",121
"บางปะกง-น้ำมันพืชไทย",-121
"น้ำมันพืชไทย-บางปะกง",121
"บางปะกง-นครหลวง",-46
"นครหลวง-บางนา",284
